epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,1281.01,1.75253,1.85695,1.2946,1.08749,0.72641,0.53118,0.55103,0.2416,0.72641,0.53118,0.55887,0.25932,1.42179,1.50178,1.29611,1.05963,0.0007724,0.0007724,0.0007724
64,1297.93,1.53737,1.7242,1.21464,1.02528,0.66988,0.50748,0.56531,0.27978,0.5403,0.475,0.46409,0.23462,1.3759,1.41742,1.25574,1.03362,0.0007526,0.0007526,0.0007526
65,1316.07,1.69102,1.72721,1.27592,1.09195,0.6099,0.45,0.52166,0.27643,0.45241,0.625,0.50415,0.23756,1.39377,1.4662,1.23532,1.03546,0.0007328,0.0007328,0.0007328
66,1332.95,1.53942,1.71428,1.1842,1.02866,0.61042,0.4,0.49404,0.25751,0.481,0.55618,0.51109,0.28074,1.46526,1.4424,1.21665,1.04654,0.000713,0.000713,0.000713
67,1351.21,1.81407,1.78243,1.33338,1.06879,0.6032,0.475,0.50265,0.26308,0.55985,0.5,0.48576,0.30212,1.42574,1.48893,1.24414,1.04665,0.0006932,0.0006932,0.0006932
68,1367.56,1.60697,1.5206,1.19614,1.04324,0.75045,0.5263,0.55051,0.29367,0.73833,0.56451,0.57525,0.25358,1.45418,1.55863,1.12441,1.07059,0.0006734,0.0006734,0.0006734
69,1385.67,1.47415,1.48517,1.21258,1.00813,0.70956,0.5497,0.50838,0.27653,0.65821,0.525,0.51441,0.27366,1.44892,nan,nan,1.07913,0.0006536,0.0006536,0.0006536
70,1402.4,1.62943,1.68072,1.24532,1.09467,0.65303,0.55,0.52478,0.26551,0.60023,0.525,0.54877,0.28537,1.39047,1.45247,1.07152,1.05943,0.0006338,0.0006338,0.0006338
71,1420.35,1.54008,1.90585,1.23643,1.05478,0.76537,0.55,0.58301,0.27288,0.67219,0.5,0.56206,0.27395,1.39126,1.44581,1.07794,1.06132,0.000614,0.000614,0.000614
72,1439.65,1.61325,1.69288,1.29835,1.06833,0.68471,0.525,0.57897,0.28908,0.52722,0.5298,0.47272,0.23577,1.45632,1.51269,1.14561,1.06572,0.0005942,0.0005942,0.0005942
73,1458.55,1.52059,1.52832,1.14651,1.03102,0.77985,0.44303,0.5366,0.27504,0.73826,0.42316,0.52282,0.26984,1.40532,1.58356,1.13688,1.04144,0.0005744,0.0005744,0.0005744
74,1477.63,1.69113,1.91409,1.26198,1.06049,0.83174,0.49449,0.59104,0.33754,0.67233,0.475,0.53054,0.295,1.35357,1.43952,1.13705,1.03922,0.0005546,0.0005546,0.0005546
75,1497.41,1.44616,1.51198,1.1032,1.011,0.94061,0.525,0.62459,0.31028,0.80459,0.45,0.53274,0.267,1.33129,1.42928,1.10735,0.98495,0.0005348,0.0005348,0.0005348
76,1517.28,1.44355,1.60861,1.16568,1.00805,0.75862,0.5,0.57432,0.29487,0.71732,0.475,0.53391,0.28985,1.29834,1.46908,1.08158,0.98366,0.000515,0.000515,0.000515
77,1535.42,1.51248,1.62637,1.06638,1.03086,0.71935,0.57676,0.57682,0.29609,0.68882,0.55348,0.54724,0.24993,1.36257,1.50921,1.14732,1.01111,0.0004952,0.0004952,0.0004952
78,1556.01,1.5098,1.51205,1.1602,1.03423,0.73561,0.6,0.63268,0.3026,0.66661,0.55,0.54474,0.26826,1.42409,1.47432,1.09143,1.02534,0.0004754,0.0004754,0.0004754
79,1574.6,1.49015,1.50872,1.14711,0.99968,0.77354,0.475,0.58389,0.32686,0.73219,0.45,0.54586,0.26503,nan,nan,nan,nan,0.0004556,0.0004556,0.0004556
