epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,7883.47,1.60082,1.32027,1.1484,0.8481,0.419,0.47258,0.24552,1.81209,1.80219,1.26765,0.0008912,0.0008912,0.0008912
58,7959.66,1.79934,1.26374,1.16353,0.84606,0.45,0.55992,0.25916,1.84123,1.76901,1.29355,0.0008714,0.0008714,0.0008714
59,8036.06,1.72707,1.28788,1.16335,0.8054,0.45,0.53221,0.2929,1.76981,1.73236,1.25949,0.0008516,0.0008516,0.0008516
60,8114.32,1.70721,1.28337,1.12545,0.76507,0.475,0.55987,0.28601,1.73739,1.58479,1.25436,0.0008318,0.0008318,0.0008318
61,8194.48,1.86772,1.36573,1.23048,0.59525,0.475,0.46694,0.24059,1.83478,1.72905,1.31239,0.000812,0.000812,0.000812
62,8417.07,1.68124,1.29191,1.11712,0.71491,0.425,0.4922,0.25079,1.90359,1.90635,1.33039,0.0007922,0.0007922,0.0007922
63,8493.65,1.68824,1.30715,1.19815,0.70039,0.4,0.49144,0.28284,1.80347,1.80753,1.32406,0.0007724,0.0007724,0.0007724
64,8569.59,1.81663,1.29551,1.14139,0.53245,0.575,0.5464,0.32351,1.6477,1.64682,1.20978,0.0007526,0.0007526,0.0007526
65,8647.19,1.74862,1.28746,1.15872,0.71015,0.475,0.55094,0.30604,1.71633,1.61581,1.21845,0.0007328,0.0007328,0.0007328
66,8725.05,1.6325,1.29201,1.10149,0.63537,0.5,0.56615,0.33327,1.61332,1.51016,1.21514,0.000713,0.000713,0.000713
67,8831.61,1.53764,1.23176,1.02796,0.52619,0.6,0.55071,0.32494,1.62745,1.61586,1.19479,0.0006932,0.0006932,0.0006932
68,9319.67,1.61199,1.12841,1.10268,0.75601,0.55,0.62982,0.32719,1.68016,1.48217,1.2591,0.0006734,0.0006734,0.0006734
69,9435.78,1.61089,1.179,1.12134,0.80291,0.50947,0.61992,0.32677,1.66728,1.61119,1.2367,0.0006536,0.0006536,0.0006536
70,9511.33,1.51733,1.1678,1.10041,0.6983,0.6,0.59935,0.3761,1.55283,1.54862,1.22687,0.0006338,0.0006338,0.0006338
71,9588.83,1.53737,1.10888,1.0857,0.78779,0.55,0.6046,0.37006,1.54877,1.47999,1.17056,0.000614,0.000614,0.000614
72,9667.14,1.56206,1.09206,1.08913,0.88343,0.45,0.59685,0.33743,1.61092,1.54592,1.15533,0.0005942,0.0005942,0.0005942
73,9745.69,1.56845,1.07886,1.08143,0.67034,0.525,0.59639,0.37489,1.51311,1.44132,1.12534,0.0005744,0.0005744,0.0005744
74,9823.69,1.46882,1.05179,1.11341,0.90897,0.49929,0.5935,0.39499,1.46279,1.41447,1.11476,0.0005546,0.0005546,0.0005546
75,9901.48,1.51471,1.08713,1.08648,0.87682,0.5,0.59723,0.3782,1.49887,1.45612,1.14831,0.0005348,0.0005348,0.0005348
76,9979.24,1.49975,1.04989,1.08802,0.63747,0.57157,0.58426,0.34239,1.62409,1.63647,1.19125,0.000515,0.000515,0.000515
77,10058.5,1.62813,1.17331,1.11654,0.77247,0.50947,0.57828,0.33441,1.6038,1.56861,1.18107,0.0004952,0.0004952,0.0004952
78,10137.5,1.45853,1.03383,1.07257,0.74854,0.52106,0.55457,0.35815,1.537,1.51918,1.19301,0.0004754,0.0004754,0.0004754
79,10215.5,1.47001,1.05733,1.04896,0.69284,0.55,0.5802,0.37776,1.46086,1.43642,1.14837,0.0004556,0.0004556,0.0004556
80,10293.7,1.46824,1.10137,1.12379,0.83241,0.45,0.58532,0.35047,1.54744,1.36288,1.17349,0.0004358,0.0004358,0.0004358
81,10371.9,1.40137,1.02284,1.04022,0.80561,0.525,0.62399,0.37312,1.61764,1.36342,1.22014,0.000416,0.000416,0.000416
82,10450.1,1.49443,1.048,1.07821,0.71261,0.62003,0.63669,0.37992,1.5669,1.35293,1.17828,0.0003962,0.0003962,0.0003962
83,10527.6,1.43269,1.01057,1.04816,0.74945,0.55,0.61411,0.3678,1.65822,1.41536,1.23323,0.0003764,0.0003764,0.0003764
84,10605.7,1.37646,1.03125,1.03493,0.79697,0.6,0.62553,0.40113,1.59044,1.31447,1.2278,0.0003566,0.0003566,0.0003566
85,10683.2,1.41334,0.98696,1.03297,0.78994,0.6,0.66022,0.40772,1.54252,1.25666,1.20838,0.0003368,0.0003368,0.0003368
86,10762.1,1.42435,1.03889,1.03692,0.73834,0.63508,0.64149,0.39988,1.53535,1.30439,1.20068,0.000317,0.000317,0.000317
87,10839.5,1.32017,0.93454,1.02675,0.77229,0.59369,0.64972,0.38941,1.55196,1.27733,1.20437,0.0002972,0.0002972,0.0002972
88,10917,1.4868,1.04481,1.10664,0.80867,0.575,0.64027,0.37855,1.53304,1.31133,1.16591,0.0002774,0.0002774,0.0002774
89,10994.6,1.37626,1.02257,1.03047,0.80743,0.55,0.63226,0.38401,1.5829,1.37574,1.16316,0.0002576,0.0002576,0.0002576
90,11071.8,1.33851,0.9391,1.00745,0.80874,0.575,0.63459,0.39696,1.63243,1.41498,1.19862,0.0002378,0.0002378,0.0002378
91,11149.3,1.28687,0.94444,1.02173,0.75704,0.575,0.62969,0.38269,1.6449,1.43483,1.20671,0.000218,0.000218,0.000218
92,11228.3,1.36362,0.95256,1.06284,0.76174,0.55968,0.62725,0.38706,1.60577,1.37093,1.19758,0.0001982,0.0001982,0.0001982
93,11306.7,1.30912,0.87287,1.05802,0.78054,0.575,0.63847,0.4019,1.50984,1.29738,1.14091,0.0001784,0.0001784,0.0001784
94,11384.6,1.27595,0.92887,1.0648,0.82332,0.575,0.64981,0.41176,1.56318,1.3073,1.1714,0.0001586,0.0001586,0.0001586
95,11463,1.31279,0.90242,1.0334,0.81273,0.575,0.64119,0.39605,1.63578,1.37368,1.20868,0.0001388,0.0001388,0.0001388
96,11541.9,1.28576,0.85959,1.03565,0.80856,0.575,0.63624,0.38045,1.64924,1.38738,1.2312,0.000119,0.000119,0.000119
97,11620.2,1.2361,0.86914,0.98406,0.72792,0.60203,0.643,0.39204,1.6322,1.37269,1.22583,9.92e-05,9.92e-05,9.92e-05
98,11697.8,1.28926,0.87384,1.02806,0.85001,0.6,0.65758,0.39763,1.62631,1.36165,1.22792,7.94e-05,7.94e-05,7.94e-05
99,11775.9,1.21206,0.83929,1.0062,0.84174,0.6,0.66079,0.39925,1.62835,1.35703,1.23372,5.96e-05,5.96e-05,5.96e-05
100,11855.3,1.29595,0.9028,1.01535,0.81758,0.6,0.66259,0.40926,1.62481,1.34441,1.23641,3.98e-05,3.98e-05,3.98e-05
