epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,679.419,1.57617,0.98681,1.07224,0.69288,0.5078,0.56882,0.31533,1.80965,1.20677,1.3132,0.00672675,0.00672675,0.00672675
119,685.152,1.45951,0.96954,1.08014,0.82739,0.6,0.65103,0.35219,1.68446,1.13889,1.16651,0.00667789,0.00667789,0.00667789
120,690.739,1.48902,1.07205,1.08661,0.71661,0.55,0.5676,0.27855,1.80858,1.2223,1.23266,0.00662885,0.00662885,0.00662885
121,696.646,1.48805,1.03007,1.06949,0.86286,0.47202,0.52594,0.2785,1.84777,1.4246,1.25966,0.00657963,0.00657963,0.00657963
122,702.058,1.58591,1.10372,1.13066,0.8247,0.45,0.49672,0.2475,1.9289,1.58363,1.33729,0.00653025,0.00653025,0.00653025
123,708.202,1.50454,1.08156,1.10089,0.66356,0.45,0.44602,0.24794,1.94377,1.57278,1.36362,0.00648071,0.00648071,0.00648071
124,713.608,1.4403,0.9924,1.03663,0.80907,0.31814,0.40512,0.22385,1.89984,1.81527,1.3192,0.00643101,0.00643101,0.00643101
125,719.635,1.51098,1.04447,1.07384,0.57949,0.3447,0.40696,0.19931,1.91065,2.02373,1.33909,0.00638115,0.00638115,0.00638115
126,725.058,1.44062,0.98051,1.06985,0.79815,0.425,0.53654,0.29071,1.79945,1.53288,1.29645,0.00633115,0.00633115,0.00633115
127,731.183,1.40723,0.93916,1.06114,0.80935,0.6,0.62959,0.34512,1.56156,1.25654,1.1486,0.00628101,0.00628101,0.00628101
128,736.848,1.51724,1.0336,1.05637,0.81444,0.625,0.67047,0.3781,1.59459,1.03947,1.14862,0.00623074,0.00623074,0.00623074
129,742.426,1.43408,0.9182,1.03354,0.79318,0.625,0.6703,0.37324,1.61431,1.05911,1.13982,0.00618034,0.00618034,0.00618034
130,748.293,1.50487,1.00504,1.06622,0.7884,0.575,0.63253,0.37631,1.54746,1.08916,1.13676,0.00612981,0.00612981,0.00612981
131,753.671,1.43166,0.92818,1.01135,0.82645,0.55,0.65018,0.36733,1.52194,1.111,1.07918,0.00607916,0.00607916,0.00607916
132,759.696,1.43213,1.00666,1.05869,0.78128,0.53603,0.63943,0.39963,1.44572,1.07825,1.1113,0.0060284,0.0060284,0.0060284
133,765.121,1.42236,0.95229,1.05748,0.76975,0.65,0.67556,0.37179,1.55404,1.09664,1.14116,0.00597754,0.00597754,0.00597754
134,771.144,1.43621,0.92236,1.02514,0.72388,0.625,0.6421,0.41204,1.41752,1.14841,1.09523,0.00592657,0.00592657,0.00592657
135,776.564,1.45011,0.97144,1.05649,0.78762,0.65,0.65114,0.38528,1.56108,1.11389,1.12105,0.00587551,0.00587551,0.00587551
136,782.431,1.56197,1.02029,1.08984,0.81526,0.5517,0.6327,0.40491,1.34017,1.07363,1.06453,0.00582435,0.00582435,0.00582435
137,788.143,1.3841,0.97348,1.04306,0.73418,0.62152,0.6442,0.40134,1.44505,1.12782,1.08453,0.00577311,0.00577311,0.00577311
138,793.551,1.49275,0.92239,1.03176,0.72522,0.675,0.69463,0.41412,1.45213,1.0554,1.08322,0.00572179,0.00572179,0.00572179
139,799.557,1.39319,0.91361,1.02206,0.7,0.6,0.61189,0.37688,1.49162,1.12906,1.13246,0.0056704,0.0056704,0.0056704
140,804.935,1.36366,0.9339,1.06338,0.795,0.525,0.62156,0.41402,1.48075,1.07882,1.10509,0.00561894,0.00561894,0.00561894
141,810.928,1.33143,0.84645,0.98297,0.85237,0.57745,0.68257,0.44039,1.43334,1.13228,1.08193,0.00556742,0.00556742,0.00556742
142,816.41,1.41421,1.01587,1.02819,0.91647,0.6,0.65359,0.42808,1.55928,1.15367,1.13476,0.00551584,0.00551584,0.00551584
143,822.533,1.37534,0.91964,1.01741,0.81605,0.625,0.66076,0.40794,1.46246,1.11424,1.1014,0.00546421,0.00546421,0.00546421
144,828.009,1.37724,0.89345,1.00867,0.80651,0.575,0.64948,0.37335,1.52817,1.04943,1.09907,0.00541253,0.00541253,0.00541253
145,833.689,1.44217,0.9097,1.03823,0.78039,0.6,0.6293,0.35326,1.44048,1.05097,1.06492,0.00536081,0.00536081,0.00536081
146,840.127,1.29141,0.86317,0.99623,0.73895,0.625,0.631,0.37932,1.47601,1.13062,1.09392,0.00530906,0.00530906,0.00530906
147,845.497,1.3007,0.82483,1.00523,0.78007,0.65,0.63058,0.38189,1.52135,1.13905,1.14287,0.00525728,0.00525728,0.00525728
148,851.398,1.31708,0.82967,0.97751,0.90242,0.6,0.6728,0.40558,1.45584,1.08525,1.09776,0.00520548,0.00520548,0.00520548
149,856.862,1.34062,0.81091,0.99932,0.91303,0.625,0.68366,0.41367,1.4546,1.05374,1.12662,0.00515366,0.00515366,0.00515366
150,862.906,1.38573,0.92958,1.04713,0.85467,0.675,0.66488,0.36814,1.67684,1.22675,1.12338,0.00510184,0.00510184,0.00510184
151,868.22,1.26624,0.83033,0.9945,0.84636,0.6888,0.68462,0.39682,1.59089,1.1202,1.123,0.00505,0.00505,0.00505
152,874.219,1.38761,0.88908,1.03806,0.84773,0.625,0.6797,0.38022,1.67239,1.17378,1.17385,0.00499816,0.00499816,0.00499816
153,879.919,1.3315,0.87645,1.03574,0.75105,0.575,0.65215,0.35668,1.63009,1.21418,1.17712,0.00494634,0.00494634,0.00494634
154,885.538,1.22541,0.81711,0.95755,0.71106,0.525,0.58164,0.3261,1.65874,1.3129,1.22553,0.00489452,0.00489452,0.00489452
155,891.356,1.28322,0.87498,1.01197,0.73473,0.65,0.65222,0.35337,1.58299,1.25807,1.2318,0.00484272,0.00484272,0.00484272
156,896.719,1.25124,0.86478,0.98479,0.83266,0.525,0.57473,0.34673,1.60166,1.23487,1.17541,0.00479094,0.00479094,0.00479094
157,902.763,1.21558,0.77249,0.98245,0.76454,0.7,0.68158,0.4033,1.38703,1.0921,1.09797,0.00473919,0.00473919,0.00473919
